Backend,Model,NumThreads,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
TRT,s,-1,29,13,7,9.25,6.8,11.5,10.4286,9.75,9.77778,10.1,12,12,11.6923,11.5,11.6667,11.875
TRT,m,-1,45,15.5,10,13,11.4,15.1667,14.7143,13.25,13.7778,12.4,14.7273,14.75,14.8462,14.9286,14.4,14.875
TRT,b,-1,38,18,15.6667,15,13.2,17.1667,15.8571,15.75,14.7778,16,16.4545,17.5,17,15.8571,16.3333,17
TRT,l,-1,52,15,18,17.25,15.2,20.5,17.7143,17.75,18.1111,16.4,21,18.4167,19.5385,19.2857,19.2,19.75
ONNX,s,-1,224,16.5,16.6667,13.75,13.6,14,13.2857,13.25,13.1111,12.9,13.6364,12.8333,13.8462,12.7857,13,12.8125
ONNX,m,-1,199,22,19.3333,19.25,18.6,18.3333,18.4286,18.375,18,18.2,17.9091,19.75,20,18.4286,18.3333,18.1875
ONNX,b,-1,197,24,23.3333,21,19.8,20.5,20.1429,19.625,20.1111,19.6,20.6364,19.5,19.4615,19.2143,19.1333,20.5625
ONNX,l,-1,257,30.5,28.3333,25,24.2,25.1667,24.1429,24.125,24,23.8,24.1818,23.8333,23.7692,23.5,23.3333,23
